H000020,What woman vowed to allow the Sabines into Rome if they gave her the gold on their arm but was instead crushed by their shields?,TARPEIA
H000021,Which king of Rome was killed when the palace roof was struck by lightning causing a fire?,TULLUS HOSTILIUS
H000022,Which king> a grandson of Numa> built a bridge across the Tiber and annexed the Janiculum hill?,ANCUS MARCIUS
H000023,The construction of the Mamertinum and the Pons Sublicius both ocurred during the reign of which king of Rome?,ANCUS MARCIUS
H000024,Which Roman king added to the Senate a hundred members> who were called minores gentes?,TARQUINNIUS PRISCUS
H000025,Tarquinnius Priscus enlarged the Senate by adding another 100 members> many of whom were probably Etruscan. What were these new members called?,MINORES GENTES
H000026,Which Roman king was the son of Demaratus of Corinth> who fled to Etruria?,TARQUINNIUS PRISCUS
H000027,Name the wife of L. Tarquinius Priscus whom tradition credits for his succession to the kingship of Rome.,TANAQUIL
H000028,Under what king was the forum drained to become the center of commercial> social> and political life?,TARQUINNIUS PRISCUS
H000029,What son of Ocrisia> a captive of war> became the sixth king of Rome?,SERVIUS TULLIUS
H000030,Which king of Rome oversaw the first Roman coinage> constructed a temple to Diana with help from neighboring Latin cities> and was the victim of a deadly conspiracy involving his daughter?,SERVIUS TULLIUS
H000031,According to legend> who was predicted to become king of Rome when flames were observed around his head as he slept in his crib?,SERVIUS TULLIUS
H000032,What king of Rome was killed when it became clear that his adopted son Servius Tullius was being groomed as his successor?,TARQUINNIUS PRISCUS
H000033,According to Livy> who organized the coup which overthrew Tarquinius Superbus and established the Roman Republic?,LUCIUS JUNIUS BRUTUS
H000034,Who took refuge at Caere in Etruria after he and his sons were banished from Rome in 509 BC?,TARQUINNIUS SUPERBUS
H000035,Which king of Rome purchased three of the Sibylline books only after allowing the other six to be burned?,TARQUINNIUS SUPERBUS
H000036,What war ended with the consul Gaius Lutatius Catulus destroying a Carthaginian fleet near the Aegates Islands in 241 BC?,FIRST PUNIC WAR
H000037,Where> in 225 BC> did the consuls Gaius Atilius Regulus and Lucius Aemilius Papus decimate a force of over 70>000 Insubrian Gauls?,CAPE TELAMON
H000038,What piece of naval technology did the Romans use against the Carthaginians to turn a naval battle into a land battle?,CORVUS
H000039,What King of Epirus did the Tarentines appeal to for help in 280 BC?,PYRRHUS
H000040,What consul was victorious at the battle of Mylae?,DUILIUS
H000041,What Spartan mercenary did the Carthaginians hire in 255 BC to reform their military?,XANTHIPPUS
H000042,What group of Campanian Mercenaries seized the city of Messana in 289 BC?,THE MAMERTINES
H000043,What Roman commander was the victorious admiral at the battle of Aegates Islands?,LUTATIUS CATULUS
H000044,What battle of 260 BC was Rome's first major naval victory?,MYLAE
H000045,What Roman patrician> exiled through plebeian hostility> led a Volscian attack on Rome in 491 BC?,CORIOLANUS
H000046,Which two women persuaded Coriolanus to turn back from his assault on Rome?,VETURIA (MOTHER)> VOLUMNIA (WIFE)
H000047,What naval battle of 241 BC proved to be the deciding battle of the First Punic War?,AEGATES ISLAND
H000048,Where in 295 BC did the Romans defeat a coalition of Samnites> Etruscans> Sabines> and Umbrians?,SENTINUM
H000049,What consul of 249 BC was responsible for the naval disaster at Drepana?,PUBLIUS CLAUDIUS PULCHER
H000050,What happened to the Roman army at the Caudine Forks after they were defeated?,DRIVEN UNDER THE YOLK
H000051,Where did the Romans defeat Pyrrhus in 275 BC?,BENEVENTUM
H000052,What Plebian consul> responsible for the Foedus Cassianum> was executed by a patrician consul in 485 BC?,SPURRIUS CASSIUS
H000053,What Roman commander committed the devotio during the battle of Sentinum?,DECIUS MUS
H000054,What man did the Senate chose to be dictator to save the Romans at Mt. Algidus?,CINCINNATUS
H000055,Who sacked Carthage in 146 BC?,SCIPIO AEMILIANUS
H000056,What Sennonian chieftain reportedly said vae victis to the Romans when they complained of weighted scales?,BRENNUS
H000057,What man> the only member of both decemviri councils> is infamous for his tyrannical actions?,APPIUS CLAUDIUS
H000058,Where in 458 BC was a Roman army trapped by the Aequi?,MT. ALGIDUS
H000059,Where in 390 BC were the Romans routed by Gaullic invaders?,ALLIA RIVER
H000060,Who was the Samnite commander at the battle of Caudine Forks?,GAVIUS PONTIUS
H000061,Where did Pyrrhus defeat the Romans in 280 BC?,HERACLEA
H000062,What battle of 321 BC was a decisive victory for the Samnites?,CAUDINE FORKS
H000063,Who stuck his right hand in a fire to prove the resolve of the Romans to Lars Porsenna?,MUCIUS SCAEVOLA
H000064,According to Roman Tradition> what hero saved Rome from the Etruscans by defending the Pons Sublicius?,HORATIUS COCLES
H000065,Who sacked Corinth in 146 BC?,MUMMIUS
H000066,What two day battle did Pyrrhus fight against the Romans in 279 BC> ultimately winning another Pyrrhic victory?,ASCULUM
H000067,Who was reported to have announced `alea iacta est` before crossing the Rubicon and sparking a civil war in 49 BC?,(GAIUS) JULIUS CAESAR
H000068,At what battle in 31 BC did Octavian defeat the forces of Antony and Cleopatra?,ACTIUM
H000069,Off the coast of what city in Epirus does Octavian defeat the forces of Antony and Cleoptra in 31 BC?,ACTIUM
H000070,By entrenching himself in a series of double barricades Caesar was able to beseige what Gallic stronghold and defeat the Arverni in 52 BC?,ALESIA
H000071,At what battle in 102 BC were Teutobod and the Teutones defeated by Marius?,AQUAE SEXTIAE
H000072,Where were the forces of King Teutobod massacred by a Roman army in 102 BC?,AQUAE SEXTIAE
H000073,After what disaster in 105 BC was Marius called upon to deal with the threat of the Cimbri and Teutones?,BATTLE OF ARAUSIO
H000074,The year 59 BC was jokingly referred to as the year of Gaius and Caesar because of the lack of influence of what co-consular colleague of Caesar?,BIBULUS
H000075,What king of Mauretania betrayed Jugurtha by turning him over to Sulla in 106 BC?,BOCCHUS
H000076,Who was murdered in the Theater of Pompey on March 15> 44 BC?,C. JULIUS CAESAR
H000077,What nickname was given to the son of Cleopatra by Julius Caesar?,CAESARION
H000078,From 86–84 BC what consul was the virtual ruler of Rome?,CINNA
H000079,What daughter of Scipio Africanus referred to her two sons as her jewels?,CORNELIA
H000080,Whose careless haste in engaging the Parthains at Carrhae resulted in molten gold being poured down his throat after his defeat?,CRASSUS
H000081,What conflict began when Manius Aquilius compelled Nicomedes IV to attack Pontus?,FIRST MITHRIDATIC WAR
H000082,Redistribution of grain> the estblishment of the colony Iunonia> and the extension of citizenship to Latins were proposals by what tribune which designated him as a target of the Senatus Consultum Ultimum?,GAIUS GRACCHUS
H000083,What tribune attempted to establish a colony at Iunonia in 122 BC?,GAIUS GRACCHUS
H000084,What Numidian chieftain declared Rome `a city for sale` because of the ease with which he was able to bribe several Roman consuls into inaction?,JUGURTHA
H000085,Who declares Rome a city for sale during attempted negotiations with Calpurnius Bestia?,JUGURTHA
H000086,Bocchus received the western portion of Numidia after what king was handed over to the Romans in 104 BC?,JUGURTHA
H000087,What conflict began when all of the Roman citizens of Cirta were slaughtered after the city was besieged in 111 BC?,JUGURTHINE WAR
H000088,Who won battles at Vosges> Bibracte> and Alesia in route to conquering Gallia Transalpina in the mid 1st Century BC?,JULIUS CAESAR
H000089,Who negotiated with Bocchus for the surrender of Jugurtha?,L. CORNELIUS SULLA
H000090,Who was granted the first senatus consultum ultimum to deal with the radical Gaius Gracchus?,L. OPIMIUS
H000091,What law of 67 BC granted Pompey six months of imperium to deal with the Mediterranean pirates?,LEX GABINIA
H000092,What law of 66 BC granted Pompey command against Mithridates?,LEX MANILIA
H000093,What law of 43 BC legalized the Second Triumvirate?,LEX TITIA
H000094,At what site did Pompey> Caesar> and Crassus meet to form the First Triumvirate?,LUCA
H000095,Upon hearing the news that his political enemies had been attacking his conduct during the Gallic Wars> where did Caesar meet with Crassus and Pompey to renew their political alliance in 56 BC?,LUCA
H000096,Who did Pompey replace in command against Mithridates by means of the Lex Gabinia?,LUCULLUS
H000097,Who was given the cognomen Ponticus for his campaigns against Mithridates?,LUCULLUS
H000098,What tribune> because he vetoed his collegue's radical proposals was removed from office in 133 BC?,M. OCTAVIUS
H000099,Which enemy of Rome committed suicide at Panticapaeum in 63 BC after leading Pontus in 3 wars against the Romans?,MITHRIDATES VI
H000100,Off the coast of what city near the Straits of Messana did Sextus Pompey suffer a crushing defeat against the forces of Octavian in 36 BC?,NAULOCHUS
H000101,At what battle in 36 BC did Agrippa> commanding Octavian's army> defeat the forces of Sextus Pompey?,NAULOCHUS
H000102,After what battle in 42 BC do Brutus and Cassius commit suicide?,PHILIPPI
H000103,What Roman general> endowed with the power of the Lex Gabinia> completed the reduction of Mediterranean pirates in only 90 days?,POMPEY
H000104,Who was executed by Pothinus and Achillas when he fled to Egypt after the battle of Pharsalus?,POMPEY
H000105,Whose career as tribune began in 103 BC with legislation to provide land settlements to Marius' veterans and ended with a senatus consultum ultimum and a shower of roof tiles?,SATURNINUS
H000106,Who starved Numantia into submission?,SCIPIO AEMILIANUS
H000107,What ex-consul led the mob which clubbed Tiberius Gracchus to death along with 300 of his followers?,SCIPIO NASICA
H000108,Who allied himself with Crixus and Oenomaus to spark a three year slave rebellion throughout Italy?,SPARTACUS
H000109,Whose march upon Rome in 82 BC endured its final check when he defeated a combined force of Samnites and Populares at the Colline Gate?,SULLA
H000110,Who bribed the Mauretanian king Bocchus to hand over his son-in-law Jugurtha?,SULLA
H000111,What two brothers> the `jewels` of their mother Cornelia Scipio> were killed during the Second Centruy BC because of their radical political reforms?,TIBERIUS & GAIUS GRACCHUS
H000112,By allying himself with Appius Claudius Pulcher> Publius Licinius Crassus> and the jurist Mucius Scaevola> what tribune secured much needed support for a string of radical proposals which end with him being clubbed to death on the Capitoline Hill?,TIBERIUS GRACCHUS
H000113,Whose heroic deeds such as being the first over the wall of Numantia> and saving the entrapped army of Hostilius Mancinus were quickly forgotten when he was clubbed to death on the Capitolin because of his radical proposals?,TIBERIUS GRACCHUS
H000114,Who rescued Hostilius Mancinus and his entrapped army from the Numantians?,TIBERIUS GRACCHUS
H000115,Where were the forces of King Boiorix and the Cimbri massacred by a Roman army in 101 BC?,VERCELLAE
H000116,What Arvernian chieftan was defeated by Caesar at Alesia in 52 BC?,VERCINGETORIX
H000117,What man ruled Rome as emperor between 27 BC to 14 AD?,AUGUSTUS
H000118,What son of Germanicus succeeded Tiberius as Emperor?,CALIGULA
H000119,What grandiose palace did Nero construct in the area cleared by fire of 64 AD?,DOMUS AUREA
H000120,What Roman emperor's last words were supposedly Qualis artifex pereo?,NERO
H000121,Augustus numbered the years of his reign based on the number of times he held what power?,TRIBUNICIA POTESTAS
H000122,What governor of Gallia Lugdunensis revolted against Nero with the support of Galba and Otho in 68 AD?,VINDEX
H000123,What group did Nero blame for the fire of 64 AD?,THE CHRISTIANS
H000124,What man served as Praetorian prefect for the majority of Tiberius' reign?,SEJANUS
H000125,What queen of the Iceni led a rebellion against Roman authority in Britain in 61 AD?,BOUDICCA
H000126,What tribune of the Praetorian guard was responsible for the assassination of Caligula in 41 AD?,CASSIUS CHAEREA
H000127,What governor of Gallia Lugdunensis prevented Nero from touring Asia Minor and Egypt by rebelling against him in 68AD?,VINDEX
H000128,Awakening from a dream> what general did Augustus demand `bring back his legions` which had been defeated in the Teutoburg Forest?,QUINTILIUS VARUS
H000129,The Senate debated the idea of restoring the Republic after whose assassination in 41 AD?,CALIGULA
H000130,What title> conferred upon Augustus in 2 BC> a title previously given to Cicero and Julius Caesar literally means `father of the country`?,PATER PATRIAE
H000131,Whose life and tyrannical reign were ended by Cassius Chaerea just four years after he solidified himself as the successor of Tiberius?,CALIGULA
H000132,Which emperor advanced the efforts of his predecessor when he moved beyond the shores of Kent and conquered Britain in 43 AD?,CLAUDIUS
H000133,What governor of Upper Germany defeated Vindex at Vesontio in 68 AD?,(L) VERGINIUS RUFUS
H000134,What emperor ushered in a `pax Romana` and built the Ara Pacis during his reign from 27 BC to 14 AD?,AUGUSTUS
H000135,What emperor coined the phrase `oderint dum probent` during his tyrannical reign from 14 t0 37 AD?,TIBERIUS
H000136,Which emperor left Sejanus in charge of his affairs when he retired to Capri for the final years of his reign?,TIBERIUS
H000137,What emperor declared his horse Incitatus a senator in addition to other deranged acts which led to his assassination in 41 AD?,CALIGULA
H000138,Whose revolt in Judaea circa 135 AD was put down by Julius Severus who had to be recalled from Britain?,SIMON BAR COSIBA
H000139,The ashes of which emperor> a distant relative of the Julio-Claudians> were the last to be placed in the Mausoleum of Augustus in 98 AD?,NERVA
H000140,Where did Marcus Aurelius die of plague in 180 AD?,VINDOBONNA
H000141,What man did Hadrian ultimately adopt as his heir?,ANTONINUS PIUS
H000142,What latin title meaning `best prince` was bestowed upon Trajan perhaps as early as 100 AD?,OPTIMUS PRINCEPS
H000143,Who was the governor of Upper Germany in AD 97 when he learned that he had been adopted as the heir of the emperor Nerva?,TRAJAN
H000144,What elderly senator was elected to succeed Domitian in 96 AD?,NERVA
H000145,What name was given to Jersualem after the suppression of the Third Jewish Revolt?,AELIA CAPITOLINA
H000146,What emperor built an 80 mile long stone wall in Britain from theTyne to Clyde?,HADRIAN
H000147,What domineering mother acted as empress of Rome throughout the reign of her son Severus Alexander?,JULIA MAMAEA
H000148,What emperor ruled from 161 to 180 AD?,MARCUS AURELIUS
H000149,Where did Hadrian build a lavish villa during his reign?,TIBUR/TIVOLI
H000150,Who was the wife of Septimius Severus?,JULIA DOMNA
H000151,Which of the five Good Emperors expanded the borders of the empire to their furthest extent?,TRAJAN
H000152,What Dacian capital city falls to Rome in 106 AD?,SARMIZEGETHUSA
H000153,Whose last words to his sons were supposedly `agree with each other> enrich the soldiers> and despise everyone else`?,SEPTIMIUS SEVERUS
H000154,Who was the first Roman emperor to wear a beard?,HADRIAN
H000155,In what year did Trajan decisively defeat Decebalus> leading to the latter's suicide?,106 A.D.
H000156,Where did the army of Vitellius under Caecina and Valens defeat the Otho in 69 AD?,BEDRIACUM / CREMONA
H000157,What king of Dacia launched an invasion of Roman territory in 85 AD?,DECEBALUS
H000158,What emperor first led a campaign against Decebalus and the Dacians?,DOMITIAN
H000159,What autocratic title did Domitian prefer over the traditional princeps?,DOMINUS ET DEUS
H000160,What disaster on August 24th> 79 AD cast a shadow over the early part of Titus' reign?,ERUPTION OF VESUVIUS/ DESTRUCTION OF POMPEII
H000161,What Ampitheather did Titus open during his reign?,FLAVIAN AMPHITHEATER / COLOSSEUM
H000162,Which of the emperors of 69 AD committed suicide after being defeated at the First Battle of Bedriacum?,OTHO
H000163,What future emperor captured Jerusalem in 70 AD?,TITUS
H000164,Which Imperial Structure depicts in high relief the Jewish menorah and other spoils from the conquest of Jerusalem?,ARCH OF TITUS
H000165,Who allegedly saw a burning cross with the phrase in hoc signo vinces in the sky before attacking Maxentius at the Battle of Milvian Bridge?,CONSTANTINE
H000166,What praetorian prefect who supplanted Gordian III ruled Rome during Rome's 1000th anniversary?,PHILIP THE ARAB
H000167,At what battle in 312 AD did the usurper Constantine defeat Maxentius?,MILVIAN BRIDGE / SAXA RUBRA
H000168,What half-vandal soldier served as magister equitum for Theodosius and regent for his young son Honorius?,STILICHO
H000169,What general earned the title `Last of the Romans` after his defeat of Attila in 451 BC?,AETIUS
H000170,What emperor issued an edict of maximum prices in 301 AD?,DIOCLETIAN
H000171,What emperor lived a life of leisure while his father ruled the empire> and continued to do so in Campania after he was deposed by Odoacer?,ROMULUS AUGUSTULUS
H000172,Who was the last emperor to rule a united Roman Empire?,THEODOSIUS I
H000173,At what battle in 260 AD did Valerian become the first emperor captured alive in battle?,EDESSA
H000174,What emperor permanently disbanded the praetorian guard?,CONSTANTINE
H000175,Which Tetrarch moved the Eastern capital of the empire to Nicomedia?,DIOCLETIAN
H000176,What emperor attempted to secure the pax deorum by performing the first systematic prosection of Christians throughout the empire?,DECIUS
H000177,After chasing him around the Bosphorus> where in September of 324 AD did the forces of Constantine finally defeat Licinius?,CHRYSOPOLIS
H000178,Where did Constantine summon an ecumenical council to solve the religious differences in the Christian church?,NICAEA
H000179,Who> seventeen or eighteen at the time> obtained control of the East> while his ten-year-old brother became the Western Emperor in 395AD?,ARCADIUS
H000180,What emperor was referred to as the `Apostate` because of his attempt to restore Paganism as the state religion?,JULIAN
H000181,What Roman count (comes) checked Atila and the Huns at the Battle of Catalaunian Plain?,AETIUS
H000182,After what battle in 324 AD did Constantine emerge as sole emperor?,CHRYSOPOLIS
H000183,Who was mercifully apppointed as Corrector Lucaniae after the fall of the Imperium Galliarum in 273 AD?,TETRICUS
H000184,Where did Constantine and Licinius meet in 313 AD so that Licinius could marry Constantia and the two men could make an agreement on religious toleration?,MILAN
H000185,At what battle of 378 AD was the emperor Valens killed in battle?,ADRIANOPLE
H000186,Where on August 9> 378 AD was a Roman emperor killed in battle against the gothic chieftan Fritigern?,ADRIANOPLE
H000187,Who divided the empire into twleve dioceses?,DIOCLETIAN
H000188,What emperor succeeded an Apostate and restored Christianity as the official state religion?,JOVIAN
H000189,What event in 325 AD saw 300 bishops gathered to settle a dispute between the Arian Heresy and the Athanasians?,COUNCIL OF NICAEA
H000190,Who was the last Western Roman emperor?,ROMULUS AUGUSTULUS
H000191,What emperor was baptized on his deathbed in 337 AD?,CONSTANTINE
H000192,What Germanic Chieftan sacked Rome in 476 AD and deposed Romulus Augustulus?,ODOACER
H000193,Who was the first emperor from the Equestrian rank?,MACRINUS
H000194,What mistress of Commodus took part in the plot that ultimately killed him in 192 AD?,MARCIA
H000195,What emperor could allegedly hit an ostrich with a javelin at 50 paces and could frequently be seen in the arena dressed as Hercules?,COMMODUS
H000196,What two brothers succeeded Septimius Severus?,CARACALLA AND GETA
H000197,What son of Marcus Aurelius ruled from 180–192 AD?,COMMODUS
H000198,Who reigned as emperor from 222–235 AD?,SEVERUS ALEXANDER
H000199,What Syrian woman was the wife of Septimius Severus?,JULIA DOMNA
H000200,What senator purchased the empire at an auction for 25>000 sesterces?,DIDIUS JULIANUS
H000201,Who ruled from 211 and 217 AD?,CARACALLA
H000202,What son of Julia Soaemias ruled from 218–222 AD and identified himself with the Syrian sun god Elagabal?,ELAGABALUS/HELIOGABALUS/VARIUS AVITUS
H000203,What son of Anchises and Venus was a great Trojan warrior?,AENEAS
H000204,Who were the parents of Aeneas?,ANCHISES & VENUS
H000205,When the Greeks captured Troy> who fled with his father Anchises> wife Creusa> son Iulus> and many followers?,AENEAS
H000206,Who was the first wife of Aeneas?,CREUSA
H000207,Who was the son of Aeneas and Creusa?,IULUS
H000208,What happened to Aeneas' wife Creusa as they left the burning Troy?,SHE WAS LOST
H000209,What Carthiginian queen did Aeneas fall in love with?,DIDO
H000210,Who fell in love with the Carthaginian queen Dido after he left Troy?,AENEAS
H000211,Why did Aeneas leave Dido?,HIS DESTINY CALLED HIM TO ITALY
H000212,What daughter of King Latinus did Aeneas marry in Italy?,LAVINIA
H000213,What king welcomed Aeneas to Italy?,LATINUS
H000214,Who married Lavinia when he reached Italty?,AENEAS
H000215,Who founded Alba Longa near the future site of Rome?,IULUS
H000216,What city did Iulus establish near the future site of Rome?,ALBA LONGA
H000217,What famous Roman statesman traced his ancestry back to Iulus?,JULIUS CAESAR
H000218,What grandson of Venus did Julius Caesar trace his ancestry back to?,IULUS
H000219,Who were the twin sons of Rhea Silvia and Mars?,ROMULUS & REMUS
H000220,Who were the parents of Romulus & Remus?,RHEA SILVIA & MARS
H000221,Who was the maternal grandfather of Romulus & Remus?,NUMITOR
H000222,Who were the famous grandsons of Numitor?,ROMULUS & REMUS
H000223,What evil brother exiled Numitor from Alba Longa?,AMULIUS
H000224,Who was exiled from Alba Long by his evil brother Amulius,NUMITOR
H000225,What daughter of Numitor did Amulius force to become a Vestal Virgin?,RHEA SILVIA
H000226,Why did Amulius force Rhea Silvia to become a Vestal Virgin?,TO MAKE SURE NUMITOR WOULD HAVE NO HEIR
H000227,How did Amulius try to ensure Numitor would have no heir?,MADE RHEA SILVIA A VESTAL VIRGIN
H000228,When Amulius exposed the infants Romulus & Remus in the wilderness> what creature saved them?,A SHE-WOLF
H000229,What infants were saved by a she-wolf when they were exposed in the wilderness by Amulius?,ROMULUS & REMUS
H000230,In what region of Italy did Romulus and Remus establish a city?,LATIUM
H000231,What river runs through Rome?,TIBER RIVER
H000232,Who decided to watch for a sign of birds in flight to determine who would rule their new city?,ROMULUS & REMUS
H000233,Name the seven hills of Rome.,AVENTINE> CAELIAN> CAPITOLINE> ESQUILINE> PALATINE> QUIRINAL> VIMINAL
H000234,On which hill did Romulus choose to watch for a sign of bird flight?,PALATINE
H000235,On which hill did Remus choose to watch for a sign of bird flight?,AVENTINE
H000236,Who saw six vultures flying overhead and believed he should rule the city?,REMUS
H000237,How many vultures did Remus see flying overhead as a sign he should rule the city?,6; SIX
H000238,Who saw twelve vultures flying overhead and believed he should rule the city?,ROMULUS
H000239,How many vultures did Romulus see flying overhead as a sign he should rule the city?,12; TWELVE
H000240,Why did Romulus kill Remus when they argued about who should rule the city?,REMUS JUMPED OVER HIS SACRED BOUNDARY
H000241,Who was killed for jumping over the sacred boundary on the Palatine while arguing with his brother about who should rule the city?,REMUS
H000242,Who was the first king of Rome?,ROMULUS
H000243,What were the beginning and ending years of the Monarchy?,753–509 BC
H000244,What is the traditional foundation date of Rome?,APRIL 21> 753 BC
H000245,What is said to have happed on April 21> 753 BC?,FOUNDATION OF ROME
H000246,Who held power during the Monarchy?,A KING
H000247,What bundle of rods with an axe symbolized the imperium (power) of the king?,FASCES
H000248,What are fasces?,BUNDLE OF RODS WITH AN AXE WHICH SYMBOLIZED IMPERIUM
H000249,How many kings did Rome have altogether?,7; SEVEN
H000250,Name all 7 kings in order.,ROMULUS> NUMA POMPILIUS> TULLUS HOSTILIUS> ANCUS MARCIUS> TARQUINIUS PRISCUS> SERVIUS TULLIUS> TARQUINIUS SUPERBUS
H000251,Which king expanded Rome's population by offering asylum on the Capitoline for outlaws and taking the wives of the neighboring Sabine tribe?,ROMULUS
H000252,In what two ways did Romulus expand Rome's population?,(1) OFFERING ASYLUM TO OUTLAWS ON THE CAPITOLINE & (2) RAPE OF THE SABINE WOMEN
H000253,Who led the Sabines to Rome to recover their wives?,TITUS TATIUS
H000254,What did Titus Tatius lead a group of Sabines to Rome?,TO RECOVER THEIR WIVES
H000255,Who captured the Capitoline Hill through the treachery of a Vestal Virgin named Tarpeia?,TITUS TATIUS
H000256,What Vestal Virgin treacherously allowed Titus Tatius to capture the Capitoline Hill?,TARPEIA
H000257,Who opened the gates of the Capitoline to the Sabines after being promised to receive what they bore on their arms?,TARPEIA
H000258,What did Tarpeia hope she would receive when she asked the Sabine soldiers for the gold they bore on their arms?,GOLD BRACELETS
H000259,What happened to Tarpeia when she asked the Sabines for the gold on their arms?,CRUSHED BY THEIR SHIELDS
H000260,What happened to Tarpeia's body after she was killed by the Sabines?,THROWN FROM THE `TARPEIAN` ROCK
H000261,Whose body was thrown from the rock which bears her name after she was crushed to death by Sabine soldiers?,TARPEIA
H000262,What did the Romans do to people senteced to execution?,THREW THEM FROM TARPEIAN ROCK
H000263,Where was the Tarpeian rock located?,CAPITOLINE HILL
H000264,With whom did Romulus co-rule in order to appease the Sabines?,TITUS TATIUS
H000265,Which king of Rome establised the Senate?,ROMULUS
H000266,Which king was deified as the god Quirinus after his death?,ROMULUS
H000267,What deified name was given to Romulus after his death?,QUIRINUS
H000268,What symbolic name of the Romans was derived from the name Quirinus?,QUIRITES
H000269,Name the wife of Romulus.,HERSILIA
H000270,What was Hersilia's deified name?,HORA
H000271,Who was the second king of Rome?,NUMA POMPILIUS
H000272,Which king of Rome made religious reforms including the Flamines and the establishment of the Cult of Vesta in Rome?,NUMA POMPILIUS
H000273,What two priesthoods did Numa establish in Rome?,FLAMINES & VESTAL VIRGINS
H000274,Which king established a 12 month lunar calendar in place of a 10 month one?,NUMA POMPILIUS
H000275,Which king was reported to have a water nymph named Egeria as his consort?,NUMA POMPILIUS
H000276,What water nymph was reported to have been the consort of Numa Pompilius?,EGERIA
H000277,Who was the third king of Rome?,TULLUS HOSTILIUS
H000278,What warrior king destroyed Alba Longa?,TULLUS HOSTILIUS
H000279,What city was destroyed by the warrior king Tullus Hostilius?,ALBA LONGA
H000280,What three Roman brothers were chosen to fight the Curiatii to decide the outcome of the war with Alba Longa?,HORATII
H000281,What three Alban brothers were chosen to fight the Curiatii to decide the outcome of the war with Rome?,CURIATII
H000282,How did the last survivor of the Horatii defeat the three Curiatii?,PRETENDED TO RUN AWAY THEN TURNED AROUND AND KILLED THEM ONE BY ONE
H000283,Who was killed by her brother for mourning the Curiatii?,HORATIA
H000284,Which king of Rome build the Senate house in Rome?,TULLUS HOSTILIUS
H000285,What was the full name of the Senate house in Rome?,CURIA HOSTILIA
H000286,What senate house did Tullus Hostilius build in Rome?,CURIA HOSTILIA
H000287,Who was the fourth king of Rome?,ANCUS MARCIUS
H000288,Which king built the Pons Sublicius> the first bridge across the Tiber?,ANCUS MARCIUS
H000289,What bridge did Ancus Marcius build across the Tiber?,PONS SUBLICIUS
H000290,What distant 8th hill across the Tiber did Ancus Marcius add to the city?,JANICULUM
H000291,What bridge across the Tiber connected the Janiculum hill to Rome?,PONS SUBLICIUS
H000292,Which king started a settlement at Ostia where the Tiber meets the Mediterranean?,ANCUS MARCIUS
H000293,What settlement did Ancus Marcius establish where the Tiber meets the Mediterranean?,OSTIA
H000294,What was the chief port city of Rome?,OSTIA
H000295,Who was the fifth king of Rome?,TARQUINNIUS PRISCUS
H000296,Of what origin was Tarquinius Priscus?,ETRUSCAN
H000297,Who was the father of Tarquinius Priscus?,DEMARATUS
H000298,Which king was the son of Demaratus?,TARQUINNIUS PRISCUS
H000299,Which king was believed to have originally been named Lucomo?,TARQUINNIUS PRISCUS
H000300,What was believed to be the original name of Tarquinnius Priscus?,LUCOMO
H000301,Who was the wife of Tarquinnius Priscus?,TANAQUIL
H000302,Which king's wife was named Tanaquil?,TARQUINNIUS PRISCUS
H000303,Who was the sixth king of Rome?,SERVIUS TULLIUS
H000304,What was the original Etruscan name of Servius Tullius?,MASTARNA
H000305,Which king's original Etruscan name was Mastarna?,SERVIUS TULLIUS
